Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
005,1.0248461764597487,1.0337099620602588,1.1359363046690132,1.1359363046690132,1.0682598866739086,1.0682598866739086,1.0682598866739086,1.0682598866739086
01,1.021903409358745,1.031024162731367,1.124014422775709,1.124014422775709,1.064071323018506,1.064071323018506,1.064071323018506,1.064071323018506
015,1.0173296284836884,1.0268869067676991,1.105925416147071,1.105925416147071,1.0576534257166066,1.0576534257166066,1.0576534257166066,1.0576534257166066
02,1.0114723777575316,1.0216535671084472,1.0834998778682452,1.0834998778682452,1.0495777184071713,1.0495777184071713,1.0495777184071713,1.0495777184071713
025,1.0047507668678792,1.0158261868851615,1.0587583114280008,1.0587583114280008,1.0403824510926474,1.0403824510926474,1.0403824510926474,1.0403824510926474
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
