Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
BH,0.6480504971463688,0.42123390110644005,0.46605656661192846,0.4600861871019428,1.1142538387011538,0.9416047679163853,1.1142538387011538,0.9416047679163853
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CH+,0.5602395181867035,0.35150983557693166,1.6550485003831568,1.5555937076027464,1.007764500944384,0.8633530039243318,1.007764500944384,0.8633530039243318
CH-,0.7795285915943223,0.693174894478945,0.47991970060877104,0.47991970060877104,1.189604924498204,1.189604924498204,1.189604924498204,1.189604924498204
CH2,0.829722761941412,0.3579725237839647,0.7387438216059455,0.7157477384469951,1.0986034859027431,1.0761046358004756,1.0986034859027431,1.0761046358004756
NH,0.8479043230007224,0.6551463100881231,1.2389346270457475,1.1965208153681943,1.1853106681150485,1.167757846217081,1.1853106681150485,1.167757846217081
O,0.6522553072228283,0.47952268577830093,0.9374356692746936,0.8064279220042692,1.1252419678420091,1.072008063963673,1.1252419678420091,1.072008063963673
