Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
Benzo-pyrene,6.799576,-6.586888999999999,20.713598,-20.713143,0.381824,0.374541,0.381824,0.374541
C6H6,4.667036,-3.804454,6.145003,-6.145003,0.510915,0.510915,0.510915,0.510915
Phenanthrene,6.651498,-6.061737,14.926725,-14.926178,0.48339,0.46554,0.48339,0.46554
Pyrene,6.619318,-5.883744,16.446512,-16.446501,0.49366,0.484716,0.49366,0.484716
Triphenylene,7.147584,-6.979037,19.264877,-19.264877,0.390945,0.390945,0.390945,0.390945
