Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
Benzo-pyrene,1.456936693867371,1.731362503003059,3.370803561853428,3.370729517951415,0.7473337052151532,0.7330788878776313,0.7473337052151532,0.7330788878776313
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phenanthrene,1.4252082049506367,1.5933264011077544,2.429083435760731,2.4289944203444653,0.9461260679369367,0.9111887495963125,0.9461260679369367,0.9111887495963125
Pyrene,1.4183130363682643,1.5465409753935784,2.676404226328286,2.6764024362559304,0.9662272589373966,0.9487214115850973,0.9662272589373966,0.9487214115850973
Triphenylene,1.5315039352599809,1.8344385291555636,3.1350476151110094,3.1350476151110094,0.7651859898417545,0.7651859898417545,0.7651859898417545,0.7651859898417545
