Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
10,1.022237240081285,1.0244403007632632,1.130317755743976,1.1302887891185733,1.0715833357799243,1.0715833357799243,1.0715833357799243,1.0715833357799243
15,1.0181048528445034,1.0119775400096835,1.120467801236224,1.1203180860936928,1.0710783594139925,1.0710744448685203,1.0710783594139925,1.0710744448685203
20,1.013074679518221,0.9953160164375756,1.1068735035605353,1.1063962051767917,1.0699098675904994,1.0699000812268185,1.0699098675904994,1.0699000812268185
25,1.0073494183460336,0.9745613956693917,1.0899524377774916,1.0887814049887363,1.0680543730366108,1.068023056672832,1.0680543730366108,1.068023056672832
5,1.0251187263179455,1.0323599654510214,1.1364752791821258,1.13647365184362,1.0713073603241243,1.0713073603241243,1.0713073603241243,1.0713073603241243
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
