Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
10,4.770818,-3.897436,6.945806,-6.945628,0.547488,0.547488,0.547488,0.547488
15,4.751532,-3.850022,6.885278,-6.884358,0.54723,0.547228,0.54723,0.547228
20,4.7280560000000005,-3.7866340000000003,6.801741,-6.798808,0.546633,0.546628,0.546633,0.546628
25,4.7013359999999995,-3.707674,6.697761,-6.690565,0.545685,0.545669,0.545685,0.545669
5,4.784266,-3.9275659999999997,6.983644,-6.983634,0.547347,0.547347,0.547347,0.547347
C6H6,4.667036,-3.804454,6.145003,-6.145003,0.510915,0.510915,0.510915,0.510915
