Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(-1),Q2(-1)zz,|Q2|(1),Q2(1)zz
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hepta-BH2m,1.5734841128287846,1.8579677924874374,2.2697964508723594,-0.8549867266134776,0.9971639118052904,0.9805486235479483,0.9971639118052904,0.9805486235479483
Hepta-CH2,1.253644068740845,1.453100497469545,1.4412730148382351,1.428770010364519,0.9923157472377989,0.9689713553135062,0.9923157472377989,0.9689713553135062
Hepta-NH,1.1847465929125038,1.348749124053018,1.7547008520581682,0.8858814226779059,0.9851501717506825,0.9445250188387501,0.9851501717506825,0.9445250188387501
Hepta-NH2+,0.9735485220169718,1.0805689857204215,3.445461784152099,3.262853899339024,0.9539806034271845,0.9203292132742237,0.9539806034271845,0.9203292132742237
Hepta-O,1.1302979021374595,1.2559676105953708,1.785274962436959,0.4906931697185502,0.9791413444506424,0.9247604787489112,0.9791413444506424,0.9247604787489112
Penta-BH2m,0.8340304210209649,0.5631825223803469,1.2666717982074216,-0.39299020683960606,1.2100760400458002,1.178105947173209,1.2100760400458002,1.178105947173209
Penta-CH2,0.729028231194274,0.40990928001757937,1.2261033883954167,1.1947977893582802,1.176432478983784,1.1559300470724094,1.176432478983784,1.1559300470724094
Penta-NH,0.7142636139939781,0.3670505675715885,1.204786881308276,0.7061871247255697,1.0845248231114766,1.0634900130158635,1.0845248231114766,1.0634900130158635
Penta-NH2+,0.6901408088559848,0.27646621565144436,2.8084399633328085,2.4035350348893236,1.0945578031570808,1.0360294765274067,1.0945578031570808,1.0360294765274067
Penta-O,0.7148755655623825,0.34670073550633024,0.8759816716118771,0.33425598002149065,1.027450750124776,0.9727762935126195,1.027450750124776,0.9727762935126195
