Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
10,1.0329078241522027,1.0372042873957736,1.123139402861154,1.123139402861154,1.068091561218598,1.068091561218598,1.068091561218598,1.068091561218598
15,1.041816261970124,1.0392282309104013,1.102022570208672,1.102022570208672,1.0661499466643178,1.0661499466643178,1.0661499466643178,1.0661499466643178
20,1.0547778075849426,1.0408878645923962,1.073024862640425,1.073024862640425,1.0635585175616296,1.0635585175616296,1.0635585175616296,1.0635585175616296
25,1.073085358673042,1.0427509440250822,1.0374268328266072,1.0374268328266072,1.060293786637699,1.060293786637699,1.060293786637699,1.060293786637699
5,1.027618814168136,1.0353790583353093,1.1358679564517706,1.1358679564517706,1.0693089848604953,1.0693089848604953,1.0693089848604953,1.0693089848604953
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
