Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
10,4.820618,-3.945996,6.901695,-6.901695,0.545704,0.545704,0.545704,0.545704
15,4.862194,-3.953696,6.771932,-6.771932,0.544712,0.544712,0.544712,0.544712
20,4.922686000000001,-3.96001,6.593741,-6.593741,0.543388,0.543388,0.543388,0.543388
25,5.008128,-3.967098,6.374991,-6.374991,0.54172,0.54172,0.54172,0.54172
5,4.795934000000001,-3.939052,6.979912,-6.979912,0.546326,0.546326,0.546326,0.546326
C6H6,4.667036,-3.804454,6.145003,-6.145003,0.510915,0.510915,0.510915,0.510915
