Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
10,1.0248911728986019,1.021608882641241,1.1242271159184136,1.1241947318821488,1.0704442030474737,1.0685691357662233,1.0702112875918695,1.0692111212236868
15,1.0237148374257234,1.0052370195565514,1.1071431535509422,1.106997994956227,1.0691798048599082,1.064419717565544,1.0687589912216318,1.066786060303573
20,1.0223645157226127,0.9825457214096951,1.0848552881097047,1.0844220905994675,1.0666392648483602,1.0568861748040281,1.0659816212090074,1.0627853948308426
25,1.0211564684737808,0.9537825927189553,1.0575861395022916,1.0565366688999176,1.0635663466525742,1.0457297202078621,1.0621982130099918,1.0575281602614917
5,1.0258532396150362,1.031785375772713,1.137344766145761,1.1373431388072552,1.069467523952125,1.0691034712231975,1.0695047121341124,1.0692189503146317
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
