Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
10,4.783204,-3.886664,6.908379,-6.90818,0.546906,0.545948,0.546787,0.546276
15,4.777714,-3.8243780000000003,6.803398,-6.802506,0.54626,0.543828,0.546045,0.545037
20,4.771412,-3.73805,6.666439,-6.663777,0.544962,0.539979,0.544626,0.542993
25,4.765774,-3.628622,6.49887,-6.492421,0.543392,0.534279,0.542693,0.540307
5,4.787694,-3.92538,6.988987,-6.988977,0.546407,0.546221,0.546426,0.54628
C6H6,4.667036,-3.804454,6.145003,-6.145003,0.510915,0.510915,0.510915,0.510915
